row_id,coder,paper_title,paper_id,dependent_variable_main_theme,coded_dependent_variable,depedendent_variable,dependent_variable_measurement,dependent_variable_measurement_technique,independent_variable_main_theme,independent_variable_sub_theme,independent_variable,independent_variable_measurement,independent_variable_measurement_technique,effect_direction,effect_direction_full_context,significant,alpha_value,effect_size,effect_size_metric,effect_size_full_context,confidence_interval,sample_size,independent_variable_measurement_others,sample_size_full _context
r1,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 3: Learning and Performance Outcomes,Accuracy,Accuracy,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Repair strategy (suggestion vs. rephrase),SINGLE,other,POSITIVE,,Yes,0.05,4.1,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r2,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 4: Social Perception and Anthropomorphism,Likability,Likability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Repair strategy (suggestion vs. rephrase),SINGLE,other,POSITIVE,,Yes,0.05,5.45,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r3,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 1: User Experience and Satisfaction,Usability,Usability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Repair strategy (suggestion vs. rephrase),SINGLE,other,NO EFFECT,,No,0.05,2.55,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r4,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 1: User Experience and Satisfaction,Annoyance,Annoyance,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Repair strategy (suggestion vs. rephrase),SINGLE,other,NO EFFECT,,No,0.05,0.1,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r5,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 3: Learning and Performance Outcomes,Accuracy,Accuracy,MULTI,survey,BEHAVIORAL,Communication_Style,Politeness (polite vs. non-polite),SINGLE,other,NO EFFECT,,No,0.05,0.83,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r6,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 4: Social Perception and Anthropomorphism,Likability,Likability,MULTI,survey,BEHAVIORAL,Communication_Style,Politeness (polite vs. non-polite),SINGLE,other,NO EFFECT,,No,0.05,1.09,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r7,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 1: User Experience and Satisfaction,Usability,Usability,MULTI,survey,BEHAVIORAL,Communication_Style,Politeness (polite vs. non-polite),SINGLE,other,NO EFFECT,,No,0.05,0.01,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r8,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 1: User Experience and Satisfaction,Annoyance,Annoyance,MULTI,survey,BEHAVIORAL,Communication_Style,Politeness (polite vs. non-polite),SINGLE,other,NO EFFECT,,No,0.05,1.35,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r9,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 1: User Experience and Satisfaction,Annoyance,Annoyance,MULTI,survey,BEHAVIORAL,Communication_Style,Politeness (polite vs. non-polite),SINGLE,other,POSITIVE,,Yes,0.05,4.64,F-statistic (ANOVA),,NO,165,Experimental manipulation - participants randomly assigned to different chatbot versions,
r10,Joni,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,A13,Theme 4: Social Perception and Anthropomorphism,Likability,Likability,MULTI,survey,BEHAVIORAL,Behavioral_Patterns,Technological Affinity,MULTI,survey,NO EFFECT,,No,0.05,0.03,SPEARMAN's RHO,,NO,165,,
